Sr_No,Location_Coordinates,Hospital_Name,Address_Original_First_Line,State,District,Pincode,Telephone,Website
1,"11.6357989, 92.7120575",Chakraborty Multi Speciality Hospital,Near Dollygunj Junction,Andaman and Nicobar Islands,South Andaman,744101,03192 251971,0
2,"11.8311681, 92.6586401",Inhs Dhanvantri,Medical Board Office,Andaman and Nicobar Islands,South Andaman,744101,0,0
3,"11.8311681, 92.6586401",Maricar Hospital,Near Masjid,Andaman and Nicobar Islands,South Andaman,744103,03192 233434,0
4,"11.6498468, 92.7294624",Pillar Health Centre,"Lamba Line, P.B. No. 526",Andaman and Nicobar Islands,South Andaman,744103,03192 233193,0
5,"11.6233774, 92.7264828","G B Pant Hospital, Port Blair","GB Pant Road, City Centre, Port Blair",Andaman and Nicobar Islands,South Andaman,744103,"03192 233665, 03192 246058, 03192 233455, 03192 230858",http://www.and.nic.in/C_charter/health/dhs/index.html#gph
6,"17.4274003, 78.4311174","Care Hospital, Banjara","Road No.1, Banjara Hills",Andhra Pradesh,Hyderabad,500034,"040 30418888, 040 66668888, 040 23234444",www.carehospitals.com
7,"14.6795736, 77.592469",Aasha Hospitals,"7/201, Court Road",Andhra Pradesh,Anantapur,515001,08554    274194,0
8,,Abhaya Kidney Care Multispeciality Hospital,"10-470, Adimurthy Nagar, Opposite Guild Off Service School",Andhra Pradesh,Anantapur,515001,277444,0
9,"14.6818877, 77.6005911",Baby Hospital,"Hyma Test Tube Baby and Research Centre, Baby Hospital Complex",Andhra Pradesh,Anantapur,515001,0,0
10,"14.6723351, 77.6018211",Dr Akbar Eye Hospital And Laser Centre,"12-3-234, 6Th Cross Sai Nagar",Andhra Pradesh,Anantapur,515001,08554    235009,0
11,,Dr.Ysr Memorial Hospitals,"#12-2-878, I Cross, Sai Nagar,Near By Sbi Main Branch",Andhra Pradesh,Anantapur,515001,08554  247155,0
12,"14.6749908, 77.6032432",Hrudaya Children Hospital,Sai Nagar Iind Cross,Andhra Pradesh,Anantapur,515001,0,0
13,"17.4738037, 78.5641765","Jeevana Jyothi Hospitals Ltd.,","#15-381, Kamala Nagar",Andhra Pradesh,Anantapur,515001,0,0
14,,K K Nursing Home,Opposite Annapurna Lodge Kamalanagar,Andhra Pradesh,Anantapur,515001,08554  222133,0
15,"14.6818877, 77.6005911",Meda Nursing Home,Railway Station Road,Andhra Pradesh,Anantapur,515001,08554    277562,0
16,"14.6723351, 77.6018211",Mnr Nursing Home,"12/3-269, Sai Nagar, 6Th Cross",Andhra Pradesh,Anantapur,515001,0,0
17,"14.6867872, 77.5832307",Mythri Hospitals,D No: 15/721 Kamala Nagar,Andhra Pradesh,Anantapur,515001,"08554    274630, 245014, 9441074096",0
18,"15.3474564, 75.1253824",Padmavathi Hospital,"Aravinda Nagar, 2 Nd Cross",Andhra Pradesh,Anantapur,515001,08554  249966,0
19,"14.6742267, 77.6025251",Pavani Multi Speciality Hospital,"12-2-979,3Rd Cross, Sai Nagar",Andhra Pradesh,Anantapur,515001,0,0
20,"14.6818877, 77.6005911",Prasanthi Nursing Home,"#346, Court Road",Andhra Pradesh,Anantapur,515001,0,0
21,"14.6723351, 77.6018211",Priya Multispeciality Hospital,"#12/2/991, Sai Nagar,Main Road",Andhra Pradesh,Anantapur,515001,231908,0
22,"14.6805847, 77.6000775",Ravitej Nursing Home,"15-16, Kamala Nagar",Andhra Pradesh,Anantapur,515001,0,0
23,"13.9860276, 77.7658783",Santhi Nursing Home,"Near R.T.C, Bus Stand",Andhra Pradesh,Anantapur,515001,0,0
24,,Sri Prakash Eye Hospital,"# 12-3-216, Sai Nagar Main Road, 5Th Cross,Beside Veterinary Hospital",Andhra Pradesh,Anantapur,515001,08554  22106,0
